turismoi_slug_place|turismoi_city_name|turismoi_country|turismoi_latitude|turismoi_longitude|travelC_provider_code|travelC_city_name|travelC_country|travelC_latitude|travelC_longitude
almeria|Almería|SPAIN (ES)|37.1035|-2.3024|LEI-1|Almeria|LEI|36.840278|-2.468056
la-serena|La Serena|CHILE (CL)|-29.903|-71.2514|LSC-1|La Serena|LSC|-29.902669|-71.251937
orizaba|Orizaba|MEXICO (MX)|NULL|NULL|OR2-1|Orizaba|VER|18.8504744|-97.10363960000001
tijuana|Tijuana|MEXICO (MX)|NULL|NULL|TIJ-1|Tijuana|TIJ|32.504106354003895|-116.96529205019567
lanzarote|Lanzarote|SPAIN (ES)|NULL|NULL|ACE-10|Lanzarote|ACE|29.02615398405301|-13.638839721679688
aguas-calientes|Aguas Calientes|PERU (PE)|-13.1547|-72.5253|AGC-13|Aguas Calientes|CUZ|-13.1547062|-72.52544119999999
alicante|Alicante|SPAIN (ES)|38.346|-0.4906|ALC-99|Alicante|ALC|38.34865705156157|-0.47790527343750006
avila|Ávila|SPAIN (ES)|40.6421|-4.6657|AVA-99|Avila|MAD|40.65|-4.683333
merida|Mérida|SPAIN (ES)|NULL|NULL|BJZ-90|Mérida |BJZ|38.914296|-6.349197
burgos|Burgos|SPAIN (ES)|42.3439|-3.6969|BRG-99|Burgos|BIO|42.35|-3.706667
granada|Granada|SPAIN (ES)|37.1773|-3.5985|GRX-99|Granada|GRX|37.178056|-3.600833
guadalajara|Guadalajara|MEXICO (MX)|NULL|NULL|GUA-10|Guadalajara|GDL|20.666667|-103.35
huelva|Huelva|SPAIN (ES)|37.2614|-6.9447|HUE-99|Huelva|SVQ|37.25|-6.95
leon|León|SPAIN (ES)|42.5987|-5.567|LEO-99|Leon |LEN|42.605556|-5.57
la-rioja|Logroño|SPAIN (ES)|42.4653|-2.4801|LOG-99|Logroño|RJL|42.462719|-2.444985
tarifa|Tarifa|SPAIN (ES)|NULL|NULL|LUZ-48|Tarifa|GIB|36.014321|-5.60445
malaga|Málaga|SPAIN (ES)|36.7212|-4.4213|MAL-10|Malaga|AGP|36.721261|-4.4212655
